Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created
970,40,2,2.1,6,Mobile,Action,Asia,Delayed,Premium,Yes,6,39,1701,No,1
971,20,2,5.15,10,Smart TV,Sci-fi,North America,Delayed,Standard,Yes,3,39,1088,No,5
972,16,10,2.17,9,Mobile,Drama,Europe,Delayed,Basic,Yes,9,39,5468,Yes,3
973,60,7,3.73,3,Mobile,Romance,Africa,Delayed,Basic,Yes,6,68,6342,No,4
974,4,3,1.8,8,Laptop,Action,Oceania,Delayed,Standard,Yes,0,69,4112,No,5
975,42,6,5.32,8,Tablet,Action,Oceania,On-Time,Premium,Yes,9,63,9577,Yes,1
976,40,4,0.73,4,Smart TV,Comedy,Africa,On-Time,Standard,No,3,25,8605,Yes,3
977,45,8,1.11,1,Smart TV,Sci-fi,Africa,Delayed,Premium,Yes,9,57,2744,No,2
978,13,5,4.05,6,Smart TV,Drama,North America,On-Time,Standard,Yes,4,34,7902,Yes,4
979,52,1,2.14,4,Mobile,Action,Asia,Delayed,Standard,No,4,24,5249,No,2
980,9,1,4.55,6,Mobile,Sci-fi,South America,On-Time,Basic,Yes,9,31,3802,Yes,5
981,4,7,3.01,2,Mobile,Drama,Europe,On-Time,Basic,No,5,36,6505,Yes,2
982,17,10,2.07,5,Mobile,Romance,North America,Delayed,Standard,No,10,62,8242,No,2
983,58,6,4.93,2,Smart TV,Romance,Africa,Delayed,Premium,Yes,3,57,9641,No,5
984,12,3,3.65,1,Tablet,Romance,Oceania,On-Time,Premium,Yes,7,26,7315,Yes,1
985,47,7,4.05,8,Smart TV,Comedy,Africa,On-Time,Premium,No,7,34,9715,Yes,2
986,32,5,2.85,6,Laptop,Romance,South America,Delayed,Standard,Yes,10,43,8160,No,5
987,37,5,5.91,10,Tablet,Action,Africa,On-Time,Standard,No,8,67,1950,No,5
988,46,8,0.53,7,Smart TV,Drama,Oceania,Delayed,Standard,Yes,6,57,3179,No,1
989,5,8,0.78,10,Laptop,Comedy,Asia,On-Time,Basic,No,6,31,8593,Yes,2
990,37,6,2.3,6,Mobile,Action,Europe,On-Time,Premium,No,2,34,6613,Yes,4
991,23,5,4.2,1,Smart TV,Comedy,Oceania,On-Time,Standard,Yes,8,18,1221,Yes,5
992,14,4,5.98,3,Smart TV,Drama,Oceania,On-Time,Basic,No,9,24,4812,No,3
993,40,8,1.28,5,Tablet,Action,Africa,On-Time,Standard,Yes,10,60,4815,Yes,2
994,4,2,5.19,1,Mobile,Drama,Europe,Delayed,Standard,No,0,49,4462,No,1
995,27,1,4.41,6,Tablet,Romance,Oceania,On-Time,Standard,Yes,9,70,7267,Yes,3
996,59,5,4.94,9,Mobile,Comedy,Asia,On-Time,Standard,Yes,4,54,2715,Yes,2
997,38,4,5.93,6,Mobile,Sci-fi,Europe,On-Time,Standard,No,7,19,5553,No,5
998,9,9,5.88,1,Tablet,Drama,South America,Delayed,Basic,No,7,65,9929,Yes,2
999,31,8,0.78,6,Tablet,Action,Europe,Delayed,Standard,Yes,0,57,1055,Yes,3
1000,13,6,4.25,1,Tablet,Romance,Africa,Delayed,Basic,Yes,0,22,6418,No,4
1001,1,10,3.37,10,Smart TV,Romance,Asia,Delayed,Premium,No,4,31,5093,Yes,4
1002,36,6,2.5,8,Tablet,Romance,Oceania,On-Time,Basic,No,10,29,7547,Yes,2
1003,51,1,1.95,1,Laptop,Sci-fi,South America,On-Time,Premium,No,7,25,7521,No,4
1004,37,7,3.69,7,Mobile,Drama,North America,Delayed,Standard,Yes,2,43,3111,Yes,1
1005,44,6,1.9,7,Smart TV,Action,Asia,On-Time,Basic,No,1,39,6968,No,2
1006,15,7,0.05,7,Smart TV,Action,Europe,Delayed,Basic,Yes,7,69,2443,Yes,3
1007,30,1,5.74,4,Tablet,Sci-fi,Africa,On-Time,Standard,Yes,0,39,9986,No,2
1008,34,6,4.98,9,Laptop,Drama,Europe,On-Time,Standard,Yes,2,62,3018,Yes,2
1009,51,1,2.48,3,Tablet,Sci-fi,Africa,Delayed,Standard,No,10,49,7703,Yes,4
1010,16,1,2.92,9,Mobile,Action,Africa,On-Time,Premium,Yes,1,70,3608,Yes,3
1011,57,3,3.19,4,Tablet,Action,North America,Delayed,Standard,No,0,31,5251,Yes,2
1012,15,5,3.45,6,Smart TV,Action,Asia,Delayed,Standard,Yes,0,18,1630,No,1
1013,54,7,1.22,5,Laptop,Comedy,South America,Delayed,Basic,Yes,6,67,7395,Yes,3
1014,30,8,3.54,7,Mobile,Romance,South America,Delayed,Premium,No,5,51,5284,No,5
1015,57,4,2.94,2,Smart TV,Drama,Africa,Delayed,Premium,No,7,21,6450,Yes,3
1016,40,10,0.98,3,Smart TV,Action,South America,On-Time,Premium,No,8,25,5788,No,3
1017,19,8,3.9,1,Laptop,Romance,Asia,Delayed,Basic,Yes,7,28,1636,Yes,1
1018,53,6,0.14,10,Tablet,Action,Africa,Delayed,Standard,No,9,49,2281,No,5
1019,12,4,5.28,3,Smart TV,Action,Europe,Delayed,Standard,No,7,38,4393,Yes,2
1020,46,7,5.38,4,Mobile,Drama,Africa,Delayed,Basic,Yes,2,32,2114,Yes,2
1021,26,5,4.55,10,Mobile,Action,Africa,Delayed,Basic,Yes,1,21,2368,No,3
1022,16,5,0.05,4,Mobile,Romance,Africa,On-Time,Premium,No,4,50,4168,Yes,1
1023,20,10,1.06,7,Laptop,Sci-fi,North America,Delayed,Basic,No,0,25,8160,No,4
1024,5,5,0.94,2,Laptop,Sci-fi,Oceania,Delayed,Standard,Yes,1,43,2377,No,1
1025,37,1,1.2,6,Smart TV,Action,Africa,Delayed,Basic,No,5,31,8121,Yes,5
1026,29,9,2.58,4,Mobile,Action,Asia,Delayed,Premium,No,1,70,8211,Yes,5
1027,41,8,1.4,3,Laptop,Romance,Oceania,On-Time,Standard,Yes,4,34,7991,Yes,4
1028,6,6,3.55,7,Tablet,Romance,Europe,Delayed,Standard,No,10,41,4746,No,4
1029,16,1,1.27,7,Smart TV,Drama,Europe,Delayed,Standard,Yes,3,32,9061,No,1
1030,53,5,0.53,10,Laptop,Comedy,Oceania,Delayed,Basic,No,2,51,1259,No,1
1031,25,1,1.14,7,Smart TV,Sci-fi,South America,Delayed,Basic,No,1,32,2616,No,2
1032,1,10,0.5,4,Mobile,Comedy,Oceania,Delayed,Premium,Yes,7,59,7723,Yes,4
1033,46,5,1.88,1,Tablet,Sci-fi,North America,On-Time,Standard,Yes,5,60,6916,Yes,2
1034,28,9,4.38,3,Tablet,Comedy,Asia,Delayed,Standard,Yes,2,32,4915,No,5
1035,25,8,4.99,4,Tablet,Drama,South America,Delayed,Standard,No,6,26,6780,No,3
1036,11,8,3.23,9,Laptop,Drama,Asia,On-Time,Premium,Yes,1,33,1501,Yes,1
1037,52,3,0.03,2,Smart TV,Romance,North America,On-Time,Premium,No,9,30,9893,Yes,3
1038,33,1,0.8,3,Smart TV,Comedy,Africa,On-Time,Premium,Yes,3,23,5695,Yes,1
1039,37,6,2.3,3,Laptop,Sci-fi,Oceania,Delayed,Premium,No,1,29,7974,Yes,1
1040,58,8,1.4,3,Smart TV,Comedy,South America,Delayed,Standard,No,10,41,6593,Yes,3
1041,3,7,1.83,6,Mobile,Comedy,Oceania,Delayed,Standard,No,7,70,8074,Yes,3
1042,21,4,2.62,2,Tablet,Drama,South America,Delayed,Premium,Yes,6,60,9436,No,1
1043,44,2,2.07,4,Mobile,Romance,Oceania,Delayed,Premium,Yes,6,60,4918,Yes,2
1044,42,7,5.45,3,Laptop,Comedy,Asia,On-Time,Premium,Yes,10,44,1372,No,4
1045,13,9,5.23,6,Laptop,Sci-fi,Africa,Delayed,Standard,No,6,32,4447,No,3
1046,12,10,5.85,1,Laptop,Comedy,Asia,On-Time,Basic,No,0,54,2090,Yes,5
1047,39,5,4,6,Mobile,Comedy,Asia,Delayed,Basic,No,9,21,8424,Yes,4
1048,32,1,3.12,4,Laptop,Drama,Oceania,Delayed,Premium,No,0,44,6750,Yes,3
1049,3,8,2.56,7,Laptop,Sci-fi,Europe,On-Time,Basic,Yes,6,70,7744,No,2
1050,32,7,2.55,4,Smart TV,Romance,Asia,On-Time,Standard,No,0,50,7981,No,1
1051,26,4,3.31,3,Smart TV,Romance,Oceania,On-Time,Standard,Yes,0,54,3492,Yes,4
1052,54,8,1.91,1,Laptop,Comedy,North America,On-Time,Standard,No,9,57,9798,No,4
1053,5,5,3.05,6,Smart TV,Romance,Europe,On-Time,Standard,No,4,63,4829,No,4
1054,28,7,1.9,7,Smart TV,Sci-fi,North America,On-Time,Basic,Yes,1,42,4386,Yes,2
1055,50,3,4.39,4,Laptop,Drama,Europe,Delayed,Basic,Yes,9,29,7500,No,5
1056,34,4,3.08,1,Smart TV,Sci-fi,Africa,Delayed,Premium,Yes,5,41,9970,Yes,4
1057,20,8,0.32,8,Tablet,Action,Africa,On-Time,Standard,No,0,35,5647,No,2
1058,31,3,2.03,6,Mobile,Comedy,Europe,On-Time,Standard,Yes,6,55,2644,Yes,2
1059,55,8,1.56,9,Mobile,Sci-fi,Oceania,Delayed,Basic,Yes,2,52,2446,No,1
1060,48,10,0.49,3,Laptop,Drama,North America,Delayed,Standard,Yes,2,61,9149,No,2
1061,10,3,5.99,3,Smart TV,Romance,Africa,On-Time,Basic,No,1,54,8207,No,2
1062,49,5,1.91,7,Tablet,Comedy,Europe,On-Time,Premium,No,10,49,3688,No,4
1063,37,7,3.86,4,Laptop,Sci-fi,South America,On-Time,Standard,Yes,0,57,6885,Yes,1
1064,37,2,5.8,6,Smart TV,Comedy,Africa,Delayed,Premium,No,10,28,5909,Yes,1
1065,31,2,1.97,8,Laptop,Drama,Oceania,Delayed,Basic,Yes,7,22,9231,No,1
1066,23,8,1.69,10,Smart TV,Drama,North America,Delayed,Basic,Yes,6,37,4000,Yes,3
1067,39,4,2.2,8,Mobile,Action,Asia,On-Time,Premium,No,10,43,7317,No,3
1068,30,9,1.12,5,Tablet,Sci-fi,South America,Delayed,Standard,No,8,19,6041,No,2
1069,27,7,4.25,4,Mobile,Comedy,South America,On-Time,Basic,No,6,58,9864,No,4
1070,54,3,3.66,8,Mobile,Sci-fi,Asia,On-Time,Standard,No,7,24,8590,Yes,4
1071,14,10,2.44,7,Smart TV,Action,Europe,On-Time,Basic,No,1,52,9055,No,5
1072,54,1,4.69,4,Mobile,Action,South America,Delayed,Premium,No,6,19,3290,No,1
1073,51,2,4.12,10,Mobile,Romance,Asia,Delayed,Basic,Yes,4,40,6054,Yes,5
1074,18,6,1.8,8,Mobile,Romance,Africa,On-Time,Basic,Yes,3,64,7632,No,2
1075,2,4,5.2,2,Tablet,Comedy,Africa,On-Time,Premium,No,3,65,3097,No,4
1076,33,8,1.77,9,Tablet,Romance,Asia,Delayed,Basic,Yes,5,33,8043,Yes,5
1077,10,10,2.89,7,Mobile,Comedy,Europe,Delayed,Standard,Yes,8,34,2532,Yes,4
1078,12,1,3.3,10,Laptop,Action,Asia,On-Time,Basic,Yes,9,70,8835,No,4
1079,44,7,1.43,5,Laptop,Action,Africa,On-Time,Premium,Yes,9,20,2798,No,2
1080,42,8,1.24,6,Laptop,Comedy,North America,Delayed,Basic,No,3,26,8709,No,1
1081,21,9,5.34,4,Mobile,Action,Africa,On-Time,Standard,Yes,3,26,8288,Yes,3
1082,56,7,1.38,7,Smart TV,Romance,Oceania,On-Time,Premium,No,7,31,2274,No,3
1083,5,1,5.59,6,Smart TV,Romance,Oceania,On-Time,Basic,No,0,55,2651,No,5
1084,21,5,5.96,5,Tablet,Action,North America,Delayed,Standard,No,9,42,9843,Yes,3
1085,29,9,4.71,1,Smart TV,Action,Europe,Delayed,Premium,Yes,2,46,7750,No,2
1086,49,7,5.99,2,Laptop,Comedy,Oceania,Delayed,Standard,Yes,4,48,5014,No,3
1087,8,6,2.05,9,Mobile,Drama,South America,Delayed,Basic,Yes,3,35,6324,No,3
1088,50,1,2.86,7,Tablet,Drama,Africa,On-Time,Standard,No,3,43,2073,No,1
1089,24,8,0.76,6,Laptop,Romance,Oceania,Delayed,Standard,No,9,68,2285,Yes,5
1090,7,7,1.51,4,Mobile,Sci-fi,Europe,On-Time,Premium,No,7,49,6136,Yes,4
1091,48,7,1.46,6,Laptop,Sci-fi,Africa,On-Time,Standard,No,0,18,4112,No,3
1092,28,10,5.21,4,Tablet,Sci-fi,Asia,Delayed,Standard,No,1,43,6418,Yes,4
1093,20,10,2.88,7,Laptop,Drama,Europe,On-Time,Premium,Yes,0,58,6297,Yes,4
1094,53,5,5.65,3,Smart TV,Romance,Asia,Delayed,Basic,No,6,53,7493,No,2
1095,53,1,1.01,9,Smart TV,Sci-fi,Europe,Delayed,Standard,No,4,54,8716,Yes,2
1096,4,3,0.03,7,Laptop,Sci-fi,Europe,Delayed,Premium,No,8,40,2729,Yes,4
1097,32,9,2.21,7,Tablet,Comedy,Africa,On-Time,Premium,Yes,8,60,7462,Yes,1
1098,20,4,5.39,1,Laptop,Drama,South America,Delayed,Standard,Yes,4,59,6565,Yes,2
1099,27,6,5.17,10,Laptop,Romance,Africa,On-Time,Standard,No,9,39,5807,No,2
1100,33,7,1.9,2,Tablet,Comedy,South America,On-Time,Standard,Yes,6,34,7498,No,3
1101,13,8,3.76,4,Laptop,Sci-fi,South America,On-Time,Basic,No,0,42,8214,Yes,5
1102,29,10,3.9,4,Laptop,Comedy,Oceania,Delayed,Premium,Yes,7,44,6748,No,2
1103,32,6,1.72,1,Smart TV,Romance,Oceania,Delayed,Basic,Yes,1,60,7607,Yes,4
1104,6,5,5.31,10,Laptop,Comedy,Asia,On-Time,Standard,Yes,5,70,2212,Yes,4
1105,52,9,2.47,3,Smart TV,Sci-fi,South America,On-Time,Standard,Yes,0,50,9061,No,1
1106,11,2,1.96,6,Mobile,Drama,Africa,On-Time,Standard,No,2,49,6808,Yes,5
1107,13,1,3.93,8,Tablet,Action,Europe,On-Time,Standard,No,6,40,5293,No,2
1108,32,6,3.71,10,Tablet,Action,Asia,Delayed,Premium,Yes,6,62,6154,Yes,2
1109,12,9,5.28,5,Laptop,Romance,Oceania,On-Time,Basic,No,9,58,4239,No,5
1110,3,8,1.43,5,Smart TV,Romance,Europe,Delayed,Standard,Yes,10,53,8410,No,1
1111,44,10,1.02,3,Tablet,Action,North America,Delayed,Premium,Yes,7,62,3394,Yes,5
1112,12,7,5.47,9,Laptop,Action,Africa,On-Time,Premium,No,2,18,2404,No,2
1113,10,2,5.1,8,Laptop,Sci-fi,North America,Delayed,Standard,No,10,62,3649,No,4
1114,5,9,4.66,6,Mobile,Romance,Europe,Delayed,Standard,No,5,39,7932,No,3
1115,34,1,0.15,2,Smart TV,Sci-fi,Oceania,On-Time,Basic,Yes,1,55,5478,No,2
1116,48,3,3.09,7,Laptop,Comedy,North America,On-Time,Standard,Yes,9,65,5060,No,3
1117,10,3,0.1,7,Mobile,Sci-fi,Asia,On-Time,Basic,No,5,69,2847,Yes,5
1118,21,2,3.38,10,Smart TV,Drama,South America,On-Time,Basic,Yes,7,32,4278,Yes,4
1119,28,7,4.12,10,Smart TV,Action,Oceania,On-Time,Standard,No,3,50,8503,No,3
1120,54,9,5.35,4,Laptop,Drama,North America,Delayed,Basic,Yes,10,40,3011,Yes,3
1121,35,2,4.84,10,Smart TV,Comedy,Asia,Delayed,Standard,Yes,10,60,5142,Yes,1
1122,5,2,1.84,4,Laptop,Sci-fi,Africa,On-Time,Standard,No,0,35,2771,No,2
1123,9,6,3.62,9,Tablet,Sci-fi,South America,Delayed,Standard,No,5,40,7976,No,5
1124,11,4,0.2,1,Smart TV,Action,Europe,Delayed,Premium,Yes,7,29,7635,No,4
1125,42,3,0.13,2,Laptop,Drama,Asia,On-Time,Standard,No,10,39,4369,No,1
1126,46,6,5.9,4,Laptop,Sci-fi,Africa,On-Time,Premium,No,10,18,3163,No,2
1127,52,7,0.04,10,Mobile,Sci-fi,South America,Delayed,Basic,No,6,48,5273,Yes,2
1128,32,5,0.81,9,Tablet,Drama,Africa,Delayed,Premium,No,8,26,9125,No,5
1129,47,8,0.39,7,Laptop,Drama,Europe,On-Time,Premium,Yes,10,61,5326,Yes,3
1130,15,3,5.53,3,Tablet,Action,North America,On-Time,Basic,Yes,3,68,6773,Yes,4
1131,35,4,5.57,9,Smart TV,Sci-fi,Oceania,On-Time,Premium,Yes,5,25,2447,No,1
1132,52,5,1.63,8,Laptop,Comedy,Oceania,Delayed,Premium,Yes,0,68,5560,No,1
1133,17,5,2.78,2,Smart TV,Comedy,Europe,Delayed,Standard,No,6,54,1033,Yes,5
1134,9,2,3.96,10,Laptop,Drama,North America,On-Time,Standard,No,3,54,6743,Yes,2
1135,43,9,0.72,6,Mobile,Action,Africa,On-Time,Basic,Yes,10,29,3055,No,3
1136,22,1,1.99,10,Laptop,Comedy,Oceania,Delayed,Premium,No,5,19,5549,Yes,5
1137,29,1,3.21,9,Smart TV,Romance,Africa,On-Time,Standard,No,2,21,9321,Yes,3
1138,30,8,1.11,8,Smart TV,Drama,Oceania,Delayed,Premium,Yes,2,23,6244,Yes,4
1139,29,6,5.46,6,Mobile,Comedy,South America,On-Time,Basic,Yes,6,57,5898,No,2
1140,39,10,2.65,8,Tablet,Romance,Africa,On-Time,Premium,Yes,9,21,7715,No,3
1141,53,9,3.74,9,Mobile,Comedy,North America,Delayed,Premium,No,1,61,9422,No,5
1142,56,1,2.8,4,Tablet,Romance,North America,Delayed,Premium,Yes,9,69,1388,No,1
1143,36,7,5.26,3,Tablet,Sci-fi,Africa,Delayed,Basic,Yes,3,70,7614,No,4
1144,26,4,5.5,5,Laptop,Drama,Europe,Delayed,Basic,Yes,3,66,2476,No,1
1145,28,7,3.97,5,Smart TV,Comedy,Asia,On-Time,Basic,No,5,23,8648,No,5
1146,44,5,5.04,7,Mobile,Action,Europe,Delayed,Basic,Yes,2,70,4072,No,2
1147,34,1,5.63,3,Mobile,Comedy,Europe,On-Time,Premium,No,0,42,4950,No,1
1148,41,6,5.25,10,Mobile,Sci-fi,South America,On-Time,Standard,Yes,3,29,8350,Yes,4
1149,28,6,5.24,3,Laptop,Action,North America,On-Time,Premium,No,6,53,3762,No,5
1150,32,10,5.9,1,Tablet,Romance,Europe,Delayed,Standard,No,1,22,9788,No,1
1151,43,2,4.52,4,Tablet,Action,Asia,On-Time,Premium,Yes,5,53,6343,No,1
1152,40,9,5.75,6,Tablet,Sci-fi,North America,On-Time,Standard,Yes,4,37,7884,No,4
1153,27,6,0.91,7,Mobile,Romance,Asia,On-Time,Standard,Yes,2,53,9199,No,3
1154,8,5,1.03,1,Mobile,Sci-fi,Europe,Delayed,Standard,Yes,9,64,7942,No,3
1155,15,1,5.3,2,Laptop,Drama,Asia,Delayed,Basic,Yes,6,67,9419,No,1
1156,23,8,1.27,4,Mobile,Sci-fi,Africa,Delayed,Standard,Yes,0,40,8584,Yes,4
1157,26,9,5.92,7,Smart TV,Action,Africa,Delayed,Basic,No,10,62,6693,Yes,3
1158,17,1,3.58,2,Mobile,Sci-fi,Europe,On-Time,Premium,No,4,43,3930,Yes,1
1159,30,1,4.47,4,Smart TV,Action,Europe,On-Time,Standard,Yes,10,34,4647,No,5
1160,22,8,5.41,5,Tablet,Sci-fi,South America,Delayed,Standard,Yes,4,37,1633,No,5
1161,53,4,4.5,4,Smart TV,Comedy,Europe,Delayed,Standard,Yes,5,68,5274,No,4
1162,1,5,1.71,3,Smart TV,Drama,North America,On-Time,Basic,Yes,9,25,1468,No,3
1163,28,6,0.06,2,Mobile,Comedy,Oceania,Delayed,Basic,Yes,8,32,6951,No,5
1164,15,9,5.11,8,Laptop,Comedy,Africa,On-Time,Standard,No,3,66,2490,Yes,3
1165,33,9,5.87,9,Laptop,Drama,Africa,On-Time,Premium,No,9,20,2362,No,4
1166,58,7,5.31,9,Mobile,Action,Asia,On-Time,Premium,No,10,38,5561,Yes,2
1167,11,6,1.53,7,Tablet,Action,Europe,On-Time,Premium,No,9,62,2880,No,1
1168,21,5,5.55,3,Tablet,Action,North America,Delayed,Basic,No,7,42,6566,No,2
1169,5,9,2.78,8,Laptop,Action,Oceania,On-Time,Premium,No,8,38,9305,No,1
1170,24,3,3.05,4,Laptop,Comedy,Europe,On-Time,Premium,No,10,32,2650,No,2
1171,59,3,4.4,8,Mobile,Drama,North America,On-Time,Basic,No,9,63,9489,No,5
1172,47,2,1.88,9,Mobile,Drama,North America,Delayed,Standard,No,3,20,7454,Yes,1
1173,53,2,2.13,10,Mobile,Comedy,South America,Delayed,Standard,Yes,2,33,2840,No,1
1174,50,10,0.18,1,Tablet,Comedy,North America,On-Time,Standard,Yes,4,50,1048,Yes,1
1175,56,9,1.78,2,Tablet,Sci-fi,Europe,Delayed,Standard,Yes,10,49,9398,No,5
1176,60,4,4.35,1,Tablet,Romance,South America,On-Time,Standard,Yes,5,57,9066,Yes,3
1177,38,4,2.01,1,Tablet,Romance,Oceania,Delayed,Premium,Yes,7,69,9129,No,4
1178,35,1,2.52,6,Tablet,Comedy,North America,On-Time,Basic,Yes,10,43,6501,Yes,1
1179,29,3,4.88,6,Laptop,Comedy,Oceania,Delayed,Basic,Yes,6,59,5185,Yes,1
1180,5,3,2.31,2,Mobile,Comedy,Oceania,Delayed,Premium,Yes,1,44,7607,No,4
1181,19,1,0.02,9,Tablet,Drama,Europe,On-Time,Premium,No,2,23,8789,No,4
1182,47,3,0.52,2,Smart TV,Drama,Africa,On-Time,Premium,No,3,24,5406,Yes,4
1183,37,4,3.79,1,Smart TV,Sci-fi,Europe,Delayed,Basic,No,0,54,4980,No,3
1184,26,9,3.75,7,Tablet,Comedy,Europe,On-Time,Basic,Yes,8,60,9848,Yes,4
1185,41,2,3.6,1,Mobile,Sci-fi,North America,On-Time,Standard,No,1,39,2632,Yes,1
1186,29,7,0.88,10,Mobile,Sci-fi,South America,Delayed,Standard,Yes,6,51,3758,Yes,1
1187,60,3,2.35,3,Smart TV,Action,Oceania,Delayed,Premium,Yes,8,57,9054,No,3
1188,54,10,0.86,6,Smart TV,Sci-fi,Oceania,Delayed,Basic,No,1,66,9347,Yes,4
1189,25,6,0.71,4,Tablet,Sci-fi,Europe,On-Time,Standard,Yes,2,26,6814,Yes,3
1190,41,6,4.28,8,Mobile,Drama,South America,Delayed,Premium,No,0,65,4930,No,5
1191,29,9,3.08,3,Tablet,Romance,North America,Delayed,Premium,No,8,52,8432,Yes,3
1192,57,9,1.19,10,Mobile,Action,Africa,On-Time,Standard,No,6,25,1592,No,1
1193,28,8,3.9,8,Mobile,Romance,Oceania,Delayed,Standard,Yes,2,58,3277,Yes,4
1194,55,4,3.98,6,Smart TV,Sci-fi,Asia,On-Time,Premium,Yes,2,70,6008,No,2
1195,28,1,0.69,1,Mobile,Drama,Africa,On-Time,Basic,Yes,4,30,1435,Yes,1
1196,32,2,2.3,3,Tablet,Drama,Europe,On-Time,Basic,No,6,43,4102,Yes,1
1197,56,8,0.81,8,Laptop,Action,North America,On-Time,Basic,Yes,9,56,6105,No,3
1198,58,2,1.16,9,Smart TV,Romance,North America,On-Time,Premium,No,0,49,4938,Yes,4
1199,33,2,5.61,2,Mobile,Action,North America,Delayed,Standard,No,4,64,7628,No,2
1200,6,1,5.86,2,Smart TV,Comedy,Africa,Delayed,Premium,No,5,68,3125,Yes,5
1201,50,10,3.78,9,Tablet,Romance,Africa,Delayed,Basic,Yes,3,54,9795,Yes,3
1202,33,10,2.07,10,Smart TV,Drama,South America,On-Time,Premium,Yes,6,49,9346,Yes,2
1203,47,10,0.61,3,Mobile,Romance,Africa,Delayed,Premium,No,7,56,2632,Yes,2
1204,55,8,0.74,2,Laptop,Comedy,Africa,On-Time,Premium,No,0,63,2091,No,5
1205,54,3,5.32,7,Tablet,Drama,Asia,On-Time,Basic,No,8,37,3967,Yes,1
1206,9,10,1.87,8,Smart TV,Comedy,Africa,Delayed,Premium,Yes,5,59,7374,No,3
1207,8,9,1.61,4,Smart TV,Sci-fi,Africa,On-Time,Premium,No,4,43,6210,Yes,5
1208,27,8,5.66,1,Laptop,Action,Africa,On-Time,Standard,No,9,69,6545,No,3
1209,7,6,2.03,9,Tablet,Drama,Africa,Delayed,Premium,Yes,10,58,7370,No,2
1210,20,8,0.1,3,Mobile,Drama,South America,Delayed,Standard,Yes,4,27,7370,No,2
1211,46,2,4.77,9,Smart TV,Romance,Asia,On-Time,Standard,Yes,3,24,9716,No,1
1212,25,5,5.52,3,Laptop,Action,South America,Delayed,Standard,No,7,61,3289,Yes,3
1213,15,1,4.33,4,Mobile,Drama,Oceania,Delayed,Basic,No,4,21,7022,No,2
1214,53,10,3.6,10,Smart TV,Sci-fi,Africa,Delayed,Basic,Yes,8,32,7040,No,3
1215,57,4,0.81,3,Laptop,Sci-fi,Europe,On-Time,Premium,Yes,6,54,6956,Yes,4
1216,37,4,3.59,7,Smart TV,Sci-fi,North America,Delayed,Basic,No,3,20,4245,Yes,3
1217,4,2,0.63,3,Laptop,Comedy,Europe,On-Time,Standard,No,0,31,7102,Yes,1
1218,19,1,3.75,3,Laptop,Romance,South America,On-Time,Premium,Yes,4,58,1637,No,2
1219,17,4,1.81,8,Mobile,Action,Europe,On-Time,Premium,Yes,9,51,8468,No,3
1220,31,10,4.24,6,Mobile,Comedy,Africa,On-Time,Basic,Yes,1,68,6657,No,3
1221,20,4,1.92,5,Smart TV,Sci-fi,Africa,Delayed,Standard,Yes,1,52,1234,Yes,3
1222,54,8,4.47,7,Laptop,Romance,Europe,On-Time,Premium,Yes,8,60,3872,Yes,2
1223,45,2,1.16,10,Smart TV,Action,South America,Delayed,Standard,No,2,32,8331,Yes,3
1224,2,2,2.07,6,Smart TV,Romance,North America,On-Time,Basic,Yes,0,63,5448,No,1
1225,58,4,0.74,5,Mobile,Sci-fi,North America,Delayed,Basic,No,6,66,7583,No,3
1226,29,9,5.62,9,Tablet,Action,South America,Delayed,Basic,No,1,32,8878,Yes,2
1227,24,9,4.02,5,Smart TV,Action,Europe,On-Time,Basic,Yes,8,60,3703,Yes,2
1228,57,8,4.47,2,Smart TV,Drama,Oceania,Delayed,Standard,No,5,69,7566,Yes,5
1229,30,10,1.99,1,Smart TV,Comedy,Europe,Delayed,Premium,No,6,24,6490,Yes,1
1230,39,5,0.78,7,Mobile,Comedy,Asia,Delayed,Standard,Yes,2,47,3100,Yes,4
1231,10,8,0.8,7,Smart TV,Drama,South America,On-Time,Basic,Yes,3,61,9851,Yes,4
1232,48,5,2.83,10,Tablet,Sci-fi,Africa,On-Time,Premium,No,7,45,4020,No,2
1233,48,5,0.18,7,Tablet,Comedy,Asia,On-Time,Basic,Yes,2,61,4543,No,4
1234,14,7,2.59,3,Laptop,Sci-fi,Africa,On-Time,Standard,No,2,63,1851,Yes,4
1235,24,9,1.13,8,Mobile,Action,Oceania,On-Time,Standard,No,2,65,5254,Yes,5
1236,31,4,4.01,9,Laptop,Romance,North America,Delayed,Premium,Yes,7,53,8240,No,5
1237,2,10,0.82,9,Mobile,Drama,Africa,On-Time,Basic,Yes,1,62,4120,No,5
1238,50,6,2.99,7,Tablet,Sci-fi,Asia,Delayed,Standard,No,6,64,2548,Yes,2
1239,11,1,3.6,5,Laptop,Action,South America,Delayed,Standard,Yes,6,23,4374,No,4
1240,2,9,2.7,4,Tablet,Drama,Africa,On-Time,Standard,Yes,1,23,7286,Yes,4
1241,53,3,3.82,9,Tablet,Romance,Africa,Delayed,Basic,Yes,4,32,7995,No,1
1242,15,4,4.49,4,Mobile,Action,Europe,Delayed,Premium,No,8,59,7990,No,3
